error: Not authenticated, 2024-05-17T18:52:00.427Z  
error: Not authenticated, 2024-05-17T20:22:06.235Z  
error: Invalid input, 2024-05-17T20:43:26.227Z  
error: Invalid input, 2024-05-17T20:54:41.493Z  
error: Invalid input, 2024-05-17T20:56:40.987Z  
error: Invalid input, 2024-05-17T20:57:13.845Z  
error: Invalid input, 2024-05-17T21:01:00.542Z  
error: status is not defined, 2024-05-17T21:02:19.243Z  
error: Not authenticated, 2024-05-17T21:04:43.306Z  
error: Not authenticated, 2024-05-18T07:50:58.446Z  
error: Conflict, 2024-05-18T08:03:35.238Z  
error: Invalid input, 2024-05-18T08:03:57.014Z  
error: Not authenticated, 2024-05-18T08:18:42.915Z  
error: Cast to ObjectId failed for value "2" (type string) at path "_id" for model "Meal", 2024-05-18T08:19:06.553Z  
error: Not authenticated, 2024-05-18T09:05:08.359Z  
error: Not found, 2024-05-18T09:12:59.425Z  
error: Not found, 2024-05-18T09:17:01.096Z  
error: Not found, 2024-05-18T09:17:18.510Z  
error: Not found, 2024-05-18T09:17:28.943Z  
error: Not found, 2024-05-18T09:35:56.140Z  
error: Not found, 2024-05-18T09:36:24.504Z  
error: Not found, 2024-05-18T09:36:34.511Z  
error: Not found, 2024-05-18T09:37:39.004Z  
error: Not authenticated, 2024-05-18T10:26:19.551Z  
error: Invalid input, 2024-05-18T10:28:20.128Z  
error: Conflict, 2024-05-18T10:28:31.044Z  
error: E11000 duplicate key error collection: test.menucategories index: name_1 dup key: { name: "Snacks" }, 2024-05-18T10:33:15.764Z  
error: Conflict, 2024-05-18T10:33:43.187Z  
error: Conflict, 2024-05-18T10:36:07.830Z  
error: Not found, 2024-05-18T10:40:09.608Z  
error: Conflict, 2024-05-18T10:40:26.327Z  
error: Conflict, 2024-05-18T10:40:31.920Z  
error: Conflict, 2024-05-18T10:47:13.548Z  
error: Expected double-quoted property name in JSON at position 24, 2024-05-18T10:50:42.850Z  
error: Conflict, 2024-05-18T11:00:08.228Z  
error: Conflict, 2024-05-18T11:01:42.713Z  
error: Conflict, 2024-05-18T13:03:25+02:00  
error: Not found, 2024-05-18T13:05:08+02:00  
error: Not authenticated, 2024-05-18T13:14:23+02:00  
error: Not authenticated, 2024-05-18T13:16:39+02:00  
error: Not authenticated, 2024-05-18T13:24:33+02:00  
error: Not authenticated, 2024-05-18T13:24:47+02:00  
error: Not authenticated, 2024-05-18T13:26:43+02:00  
error: Not authenticated, 2024-05-18T13:28:34+02:00  
error: Not authenticated, 2024-05-18T13:28:38+02:00  
error: Not authenticated, 2024-05-18T13:28:45+02:00  
error: Not authenticated, 2024-05-18T13:29:14+02:00  
error: Invalid password, 2024-05-18T13:36:05+02:00  
error: Invalid password, 2024-05-18T13:36:26+02:00  
error: Token expired, 2024-05-18T13:38:24+02:00  
error: Token expired, 2024-05-18T13:38:29+02:00  
error: Token expired, 2024-05-18T13:38:59+02:00  
error: Conflict, 2024-05-18T13:39:39+02:00  
